date,product_id,product_name,category,quantity,unit_price,revenue,customer_id,region
2023-09-10,BEA_093,Makeup,Beauty,2,166.69,333.38,CUST_0162,North
2023-09-10,BEA_066,Makeup,Beauty,4,61.28,245.11,CUST_0569,East
2023-09-10,SPO_041,Accessories,Sports,5,212.77,1063.86,CUST_0634,Central
2023-09-10,CLO_009,Dress,Clothing,10,88.77,887.66,CUST_0699,West
2023-09-10,SPO_011,Sports Wear,Sports,2,378.18,756.36,CUST_0970,North
2023-09-10,ELE_049,Tablet,Electronics,4,959.58,3838.31,CUST_0493,South
2023-09-10,SPO_060,Sports Wear,Sports,1,335.47,335.47,CUST_0870,North
2023-09-11,ELE_052,Smartphone,Electronics,5,937.7,4688.5,CUST_0049,West
2023-09-11,FOO_004,Snacks,Food & Beverages,16,35.79,572.67,CUST_0222,West
2023-09-11,SPO_033,Accessories,Sports,6,198.92,1193.51,CUST_0680,North
2023-09-11,FOO_090,Bread,Food & Beverages,13,27.22,353.9,CUST_0011,South
2023-09-11,SPO_051,Outdoor Gear,Sports,2,410.62,821.25,CUST_0204,West
2023-09-11,CLO_049,T-Shirt,Clothing,2,194.29,388.58,CUST_0703,East
2023-09-11,FOO_017,Milk,Food & Beverages,8,5.66,45.31,CUST_0360,West
2023-09-11,CLO_026,Jacket,Clothing,2,151.63,303.27,CUST_0433,South
2023-09-11,HOM_023,Furniture,Home & Garden,2,23.42,46.83,CUST_0660,South
2023-09-12,FOO_031,Bread,Food & Beverages,4,31.43,125.72,CUST_0320,West
2023-09-12,BEA_076,Skincare,Beauty,13,37.92,492.99,CUST_0061,North
2023-09-12,FOO_066,Snacks,Food & Beverages,13,32.76,425.87,CUST_0059,Central
2023-09-12,ELE_047,Laptop,Electronics,2,962.4,1924.8,CUST_0079,West
2023-09-12,ELE_021,Headphones,Electronics,3,606.05,1818.15,CUST_0583,South
2023-09-12,FOO_078,Bread,Food & Beverages,16,23.01,368.15,CUST_0929,West
2023-09-12,FOO_016,Coffee,Food & Beverages,13,23.04,299.5,CUST_0183,West
2023-09-12,CLO_082,T-Shirt,Clothing,3,96.66,289.98,CUST_0148,Central
2023-09-12,ELE_005,Headphones,Electronics,5,1242.58,6212.92,CUST_0499,East
